[2024-12-14 01:10:05] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:10:05] Cache cleanup thread started.
[2024-12-14 01:10:05] Active connections monitoring started.
[2024-12-14 01:10:05] Proxy server running on 127.0.0.1:9090
[2024-12-14 01:15:30] Server stopped by user.
[2024-12-14 01:15:30] Server socket closed.
[2024-12-14 01:15:30] Proxy server shutdown complete.
[2024-12-14 01:15:41] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:15:41] Cache cleanup thread started.
[2024-12-14 09:12:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:12:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:12:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:12:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:12:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:12:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:13:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:13:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:13:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:13:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:13:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:13:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:14:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:14:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:14:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:14:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:14:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:14:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:15:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:15:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:15:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:15:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:15:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:15:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:16:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:16:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:16:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:16:30] Monitoring: Active connections: 0, Cache size: 0
